PRODUTOS ALERTADOS;PARECER;DATA RELACIONAMENTO PORTO;NOME LISTA VIGILANCIA;FLAG PEP;FLAG PARTICIPANTE;VALOR RENDA;VALOR RENDA FATURAMENTO;DESCRIÇÃO REVISÃO ANALISE;VALOR SCORE KYCREP;VALOR SCORE OPERACIONAL;VALOR SCORE PARTICIPANTE;VALOR SCORE PRODUTO;VALOR SCORE SOCIO;FLAG PROCESSO EXTERNO ABERTO;VALOR ENVOLVIDO;FLAG DOSSIÊ;UF
Cartão;COMUNICAR;2013-06-14 00:00:00.0;;false;false;;16541.09;;491.0;1400.0;;181.0;;false;3415230.0;false;DF
Locadora;COMUNICAR;2016-08-12 00:00:00.0;;false;true;;19978.81;;370.0;1200.0;270.0;140.0;;false;547288.0;false;SP
Cartão / Locadora;COMUNICAR;2012-02-15 00:00:00.0;;false;false;;18867.0;;270.0;1200.0;;140.0;;false;676572.0;false;SP
Locadora;;2016-04-04 00:00:00.0;;false;false;;11216.0;;220.0;1200.0;;140.0;;false;635554.0;false;SP
Locadora;;2020-11-25 00:00:00.0;;false;false;;4907.0;;130.0;1200.0;;140.0;;false;822388.4;false;SP
Cartão;COMUNICAR;2015-11-23 00:00:00.0;;false;true;;5941.8;;400.0;610.0;100.0;181.0;;false;2225044.25;false;SP
Cartão;COMUNICAR;2018-08-28 00:00:00.0;;false;true;;27074.03;;390.0;610.0;191.0;181.0;;false;1158304.52;false;PB
Cartão;;2020-04-02 00:00:00.0;;false;false;;100000.0;;400.0;600.0;;181.0;;false;746295.1299999999;false;PR
Cartão;COMUNICAR;2016-07-21 00:00:00.0;;false;true;;5643.81;;350.0;610.0;101.0;181.0;;false;1171763.16;false;SP
Cartão;;2021-08-25 00:00:00.0;;false;false;;100000.0;;350.0;600.0;;181.0;;false;54000.0;false;SP
Cartão;;2015-02-27 00:00:00.0;;false;true;;100000.0;;350.0;600.0;120.0;181.0;;false;62066.08;false;SP
Cartão;;2012-11-20 00:00:00.0;;false;false;;36532.69;;330.0;610.0;;181.0;;false;825731.1799999999;false;SP
CDC;COMUNICAR;2023-07-28 00:00:00.0;;false;false;;179166.6666666667;;260.0;800.0;;54.0;0.0;true;1362741.7755;false;RJ
Cartão;;2015-09-25 00:00:00.0;;false;true;;41000.0;;500.0;410.0;500.0;181.0;;false;78036.16;false;SP
Cartão;;2016-03-13 00:00:00.0;;false;true;;100000.0;;300.0;600.0;151.0;181.0;;false;593403.96;false;MG
Cartão;;2013-02-16 00:00:00.0;;false;true;;11610.0;;300.0;600.0;81.0;181.0;;false;77397.92;false;RJ
Locadora;;2016-03-21 00:00:00.0;;false;true;;179166.666666667;;330.0;600.0;130.0;140.0;80.0;false;1772500.0;true;SP
Cartão;NAO_COMUNICAR;2017-08-19 00:00:00.0;;false;true;;12606.42;;250.0;600.0;130.0;181.0;;true;198326.0;false;SP
Locadora;NAO_COMUNICAR;2019-09-14 00:00:00.0;;false;false;;216666.67;;291.0;600.0;;140.0;80.0;false;1433000.0;false;SP
Locadora;NAO_COMUNICAR;2024-05-16 00:00:00.0;;false;false;;3333.33;;200.0;600.0;;140.0;200.0;false;189228.0;false;SP
Locadora;;2015-12-02 00:00:00.0;;false;false;;20466.0;;120.0;1200.0;;140.0;;false;580576.0;false;SP
Cartão;;2023-10-19 00:00:00.0;;false;true;;37645.0;;81.0;900.0;81.0;181.0;;false;61706.92;false;SP
Capitalização;;2022-10-20 00:00:00.0;;false;false;;;;140.0;850.0;;80.0;140.0;false;88000.0;true;BA
CDC;;;;false;false;;9166.666666666666;;150.0;800.0;;54.0;150.0;false;43484.0811;false;SP
CDC;;;;false;false;;9166.666666666666;;150.0;800.0;;54.0;150.0;false;43484.0811;false;SP
Capitalização;;;;false;false;;;;60.0;850.0;;80.0;;false;96000.0;false;SP
