TIPO_RELACIONAMENTO;TP;Produtos Alertados;Empresas Alertadas;Descrição códigos Operacional;códigos Operacional;códigos Operacional M-1;Escore Final M-1;Valor Envolvido;ID Comunicado;Vlr Envolvido Comunicado;códigos Operacional Comunicado;Nova Pontuação;Data limite de análise;Data classificação risco;Data relacionamento Porto;Tempo de Relacionamento Porto;Data de nascimento ou fundação;Pontuação data nasc./fundação;Descrição data nasc./fundação;Cidade;UF;CEP;Pontuação CEP;Descrição CEP Risco;Descrição Endereço Igual;Pontuação Endereço Igual;Descrição Email Igual;Pontuação Email Igual;Última atualização cadastral;Descrição atualização cadastral;Pontuação atualização cadastral;Profissão econômica;Pontuação Profissão econômica;CNAE;Descrição do CNAE;Pontuação atividade econômica;Origem Renda/Fat médio;Renda/Fat médio;Pontuação Renda/Fat médio;Faixa Renda e/ou Fat médio;Renda IBGE;PEP;Pontuação PEP;Dossiê;Pontuação Dossiê;Detalhe da Ocorrência Dossiê;Pontuação Listas de Vigilância;Listas de vigilância;Descrição Listas de Vigilância;Pontuação Mídia;Detalhe/Resumo da Mídia;Pontuação Processos judiciais;Descrição Processos judiciais;Tem sócios?;Escore Socio;Tem participante?;Escore Participante;score_kyc_rep;Score Operacional;Score Produtos;Escore Final;ID;mes_origem;Conclusão
Cliente Global;J;PortoPar / Saúde;PortoPar / Saúde;Clientes que atinjam investimentos (saldo total), cujo somatório seja de valor igual ou superior a R$ 100.000,00 e superior ao patrimônio declarado. / Verificar situações em que o prêmio pago corresponde a 80% do faturamento mensal do segurado.;BACEN_02 / ANS_01;BACEN_02 / ANS_01;930;6022810;;;;0;9/28/24;8/14/24;2/20/24;0;5/18/21;0;;Sao Paulo;SP;01204-1;0;;;;;0;Tue Jul 30 2024 00:00:00 GMT-0300 (Horário Padrão de Brasília);;0;;0;6810201;COMPRA E VENDA DE IMOVEIS PROPRIOS;0;Serasa Site;53333;10;Faturamento mensal menor que 180 Mil;5104;Não;0;Não;0;;0;;;0;;0;;Sim;170;Sim;50;170;600;160;930;202407000586;202407;Não Comunicar
Cliente Global;F;Cartão;Porto Seg;Clientes que realizem 3 ou mais remessas ao exterior, dentro do mesmo mês calendário, através do cartão de crédito internacional, e cujo somatório seja de valor igual ou superior ao equivalente a US$ 3 mil. / Clientes que efetuam compra única de valor elevado, acima de R$ 50.000,00, independente do valor da renda.;BACEN_14 / BACEN_23;BACEN_14;841;720343;;;;0;9/28/24;8/14/24;5/17/16;8;11/5/76;0;;Fernandopolis;SP;15601-002;0;;;;;0;Thu May 02 2024 00:00:00 GMT-0300 (Horário Padrão de Brasília);;0;ADMINISTRADORES;0;;;0;PH3A;80948;100;Renda mensal superior a 50 Mil;3149;Não;0;Sim;50;Código: 11 - IRREGULARIDADES EM SINISTRO **/** Código: 262 - ALTO INDICE DE SINISTRALIDADE **/** Código: 284 - REGISTRO GERENCIAL;0;;;300;10/11/2022: Cléber da Silva Faria foi preso com outras seis pessoas sob acusação de que a Cervejaria Cidade Imperial, situada em Petrópolis (RJ), a qual era sócio em 2017, despejaria resíduos oriundos de uma obra em áreas de proteção ambiental.</p>;0;;Não;;Sim;151;650;610;181;1441;202407000354;202407;Não Comunicar
Cliente Global;F;Locadora;Locadora;Clientes Locadora que adquiram bens de luxo ou de alto valor, dentro de um mesmo mês calendário, cujos valores, somados, resultem em importância igual ou superior a R$ 100.000,00, a qual extrapole 250% ou mais o valor da renda ou faturamento mensal do cliente com pagamento à vista (PIX, TED e Cartão / Clientes locadora que realizaram aquisição de 3 (três) ou mais veículos por cliente pessoa física, cujos valores somados em um mesmo mês resultem em importância igual ou superior a R$ 150.000,00.;COAF_03 / COAF_11;COAF_03;810;766100;;;;0;9/28/24;8/14/24;8/21/15;8;1/24/78;0;;Sao Paulo;SP;04648-240;0;;;;;0;Sun Jul 21 2024 00:00:00 GMT-0300 (Horário Padrão de Brasília);;0;AUXILIAR DE ESCRITORIO;0;;;0;QUOD;21147;70;Renda mensal entre 15 e 35 Mil;17605;Não;0;Não;0;;0;;;0;;0;;Não;;Não;;70;1200;140;1410;202407000360;202407;Não Comunicar
Cliente Global;F;Capitalização;PortoCap;Incompatibilidade financeira - Valor do aluguel, maior ou igual a R$ 10.000,00 e que seja maior ou igual a 250% a renda, deverá ser pontuado.;SUSEP_20;;;50000;;;;0;9/28/24;8/14/24;4/3/21;3;2/26/86;0;;Sao Paulo;SP;04020-070;70;CEPs de regiões próximas a favelas;CEPs de regiões próximas a favelas;;;0;Mon Dec 04 2023 00:00:00 GMT-0300 (Horário Padrão de Brasília);;0;;50;;;0;QUOD;3539;30;Renda mensal entre 2.400 e 5 Mil;15456;Não;0;Não;0;;0;;;0;;0;;Não;;Não;;150;850;80;1080;202407000434;202407;Não Comunicar
Cliente Global;F;Consórcio;Consórcio;Clientes pessoa física ou pessoa jurídica que detenham, respectivamente, mais de 10 ou 20 cotas de consórcio, cujo valor global das parcelas, no mês calendário, seja igual ou superior ao equivalente a 70% da renda ou faturamento.;BACEN_07;;;8473;;;;0;9/28/24;8/14/24;7/29/16;8;9/17/78;0;;Sao Paulo;SP;03119-000;70;CEPs de regiões próximas a favelas;CEPs de regiões próximas a favelas;;;0;Sat Nov 18 2023 00:00:00 GMT-0300 (Horário Padrão de Brasília);;0;AUXILIAR DE ESCRITORIO;0;;;0;PH3A;3644;30;Renda mensal entre 2.400 e 5 Mil;11133;Não;0;Não;0;;0;;;0;;0;;Não;;Sim;130;200;600;100;900;202407000620;202407;Não Comunicar
Cliente Global;F;Consórcio;Consórcio;Clientes pessoa física ou pessoa jurídica que detenham, respectivamente, mais de 10 ou 20 cotas de consórcio, cujo valor global das parcelas, no mês calendário, seja igual ou superior ao equivalente a 70% da renda ou faturamento.;BACEN_07;BACEN_07 / BACEN_09;1675;26689;;;;0;9/28/24;8/14/24;12/7/17;6;5/2/70;0;;Fortaleza;CE;60833-075;70;CEPs de regiões próximas a favelas;CEPs de regiões próximas a favelas;;;0;Tue May 07 2024 00:00:00 GMT-0300 (Horário Padrão de Brasília);;0;ADVOGADO;100;;;0;QUOD;1;30;Renda mensal menor que 2.400 Mil;7442;PEP;175;Não;0;;0;;;0;;0;;Não;;Não;;375;600;100;1075;202407000436;202407;Não Comunicar
Cliente Global;F;Consórcio;Consórcio;Clientes pessoa física ou pessoa jurídica que detenham, respectivamente, mais de 10 ou 20 cotas de consórcio, cujo valor global das parcelas, no mês calendário, seja igual ou superior ao equivalente a 70% da renda ou faturamento.;BACEN_07;BACEN_07;950;145271;;;;0;9/28/24;8/14/24;5/14/21;3;9/8/83;0;;Cocalinho;MT;78680-000;0;;;;;0;Sat Jun 22 2024 00:00:00 GMT-0300 (Horário Padrão de Brasília);;0;AUXILIAR DE ESCRITORIO;0;;;0;PH3A;74005;100;Renda mensal superior a 50 Mil;2597;Não;0;Sim;50;Código: 8 - TRATATIVA DIFERENCIADA;0;;;0;;0;;Não;;Não;;250;600;100;950;202407000545;202407;Não Comunicar
Cliente Global;F;Cartão;Porto Seg;Clientes que no período de 12 meses, efetuem pagamento de fatura igual ou superior a R$50 mil e valor maior do que sua renda (os pagamentos devem ser superiores por pelo menos 6 meses).;BACEN_22;SUSEP_01 / BACEN_22 / BACEN_23;2381;1060209;202404000757;683028;BACEN_22;0;9/28/24;8/14/24;10/4/16;7;4/22/74;0;;Rio De Janeiro;RJ;22793-580;70;CEPs de regiões próximas a favelas;CEPs de regiões próximas a favelas;;;0;Wed Jul 24 2024 00:00:00 GMT-0300 (Horário Padrão de Brasília);;0;MUSICOS COMPOSITORES, ARRANJADORES, REGENTES E MUSICOLOGOS;70;;;0;QUOD;100000;100;Renda mensal superior a 50 Mil;31038;Não;0;Não;0;;0;;;100;"26/03/2021: Um grupo de MCs foi alvo de busca e apreensão em São Paulo. Eles são investigados por associação ao tráfico de drogas. <br />
 <br />
 <strong>OK</strong></p>";0;;Não;;Não;;640;600;181;1421;202407000356;202407;Comunicar
Cliente Global;F;Cartão;Porto Seg;Clientes que no período de 12 meses, efetuem pagamento de fatura igual ou superior a R$50 mil e valor maior do que sua renda (os pagamentos devem ser superiores por pelo menos 6 meses).;BACEN_22;BACEN_22 / BACEN_29;1651;925245;;;;0;9/28/24;8/14/24;12/9/16;7;5/11/60;0;;Porto Alegre;RS;90470-340;0;;Endereço igual;;;0;Tue Jul 23 2024 00:00:00 GMT-0300 (Horário Padrão de Brasília);;0;;50;;;0;PH3A;28596;70;Renda mensal entre 15 e 35 Mil;23952;Não;0;Não;0;;0;;;100;14/11/2017: Operação Temis SP foi deflagrada pela Polícia Federal de São Paulo em 2007 e concluida em 2010 e teve como objetivo investigar quadrilha que negociava decisões judiciais para fraudar a Receita Federal e manter bingos em funcionamento. A Juiza Maria Cristina de Luca Barongeno do TRF3 SP foi condenada a seis anos de prisão. Obs.: Notícia em edição (em tratamento).;0;;Não;;Sim;130;570;600;181;1351;202407000368;202407;Comunicar
Cliente Global;F;Cartão;Porto Seg;Clientes que no período de 12 meses, efetuem pagamento de fatura igual ou superior a R$50 mil e valor maior do que sua renda (os pagamentos devem ser superiores por pelo menos 6 meses).;BACEN_22;BACEN_22;1171;813229;202406000294;791229;BACEN_22;0;9/28/24;8/14/24;6/29/16;8;10/19/81;0;;Rio De Janeiro;RJ;22776-050;70;CEPs de regiões próximas a favelas;Endereço igual;;;0;Wed Jul 31 2024 00:00:00 GMT-0300 (Horário Padrão de Brasília);;0;OUTROS TRABALHADORES DOS SERVICOS;0;;;0;PH3A;17980;70;Renda mensal entre 15 e 35 Mil;16890;Não;0;Não;0;;0;;;0;;0;;Não;;Sim;191;490;600;181;1271;202407000373;202407;Comunicar
