PRODUTOS ALERTADOS;PARECER;DATA RELACIONAMENTO;NOME LISTA VIGILANCIA;FLAG PEP;FLAG PARTICIPANTE;VALOR RENDA;VALOR RENDA FATURAMENTO;DESCRIÇÃO REVISÃO ANALISE;VALOR SCORE KYCREP;VALOR SCORE OPERACIONAL;VALOR SCORE PARTICIPANTE;VALOR SCORE PRODUTO;VALOR SCORE SOCIO;FLAG PROCESSO EXTERNO ABERTO;VALOR ENVOLVIDO;FLAG DOSSIÊ;UF
Cartão;NAO_COMUNICAR;2015-11-01 00:00:00.0;;false;true;;24140.04;;390.0;1800.0;150.0;181.0;;false;3878305.26;false;SP
Cartão / PortoPar;NAO_COMUNICAR;2014-03-13 00:00:00.0;;false;true;;23732.69;;320.0;1410.0;80.0;266.0;;false;443372.35;false;SP
PortoPar;NAO_COMUNICAR;2019-05-08 00:00:00.0;;false;false;;5222.0;;275.0;1600.0;;85.0;;false;723326.38;false;SP
Cartão;NAO_COMUNICAR;2016-07-21 00:00:00.0;;false;true;;5643.81;;350.0;1210.0;101.0;181.0;;false;1410260.21;false;SP
Cartão;NAO_COMUNICAR;2015-04-09 00:00:00.0;;false;false;;49791.37;;330.0;1200.0;;181.0;;false;383899.22;false;SP
Cartão;NAO_COMUNICAR;2015-05-11 00:00:00.0;;false;true;;5958.05;;470.0;1000.0;191.0;181.0;;false;337667.2700000001;false;RJ
Cartão;COMUNICAR;2014-07-09 00:00:00.0;;false;true;;100000.0;;270.0;1000.0;240.0;181.0;;false;352179.0;false;SE
Cartão;NAO_COMUNICAR;2016-03-04 00:00:00.0;;false;true;;66313.0;;150.0;1100.0;101.0;181.0;;false;801445.18;false;SP
Cartão;NAO_COMUNICAR;2022-08-25 00:00:00.0;;false;false;;7104.0;;200.0;1000.0;;181.0;;false;477206.1300000001;false;ES
Cartão;NAO_COMUNICAR;2015-02-04 00:00:00.0;;false;false;;99609.0;;250.0;900.0;;181.0;;false;420758.67;false;MG
Automóvel Porto;NAO_COMUNICAR;2022-12-01 00:00:00.0;;false;false;;;;330.0;850.0;;80.0;130.0;false;21898.7;true;SP
Saúde;NAO_COMUNICAR;2013-04-24 00:00:00.0;;false;false;;3458333.333333333;;170.0;1000.0;;75.0;170.0;false;37233.34;false;SP
Saúde;NAO_COMUNICAR;2016-10-10 00:00:00.0;;false;false;;;;150.0;1000.0;;75.0;150.0;false;485673.4;false;SP
Cartão;NAO_COMUNICAR;2016-05-03 00:00:00.0;;false;false;;94904.0;;200.0;800.0;;181.0;;false;115286.22;false;SP
Cartão;NAO_COMUNICAR;2023-10-19 00:00:00.0;;false;true;;100000.0;;400.0;600.0;80.0;181.0;;false;348359.15;true;SP
Saúde;NAO_COMUNICAR;2023-05-15 00:00:00.0;;false;false;;;;101.0;1000.0;;75.0;101.0;false;25612.04;false;
Capitalização;NAO_COMUNICAR;2018-08-30 00:00:00.0;;false;false;;1.0;;406.0;650.0;;80.0;;false;5054.85;false;RO
